last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/22/2022,Nice location in MexicoCity,Álvaro Obregón,19.37979,-99.25281,"$1,040.00 "
9/22/2022,Low-price boutique apartment 9 min from Polanco,Miguel Hidalgo,19.44975,-99.18099,$747.00 
9/23/2022,BRIGHT & MODERN TWO LEVEL PENTHOUSE,Cuauhtémoc,19.42589,-99.16634,"$1,552.00 "
9/23/2022,Luxury Studios in Roma/Condesa,Cuauhtémoc,19.418,-99.16532,"$2,250.00 "
9/22/2022,The greatest location in Downtown,Cuauhtémoc,19.42843,-99.13772,$660.00 
9/22/2022,APARTMENT NEAR SANTA FE MEXICO CITY,Cuajimalpa de Morelos,19.36905,-99.29672,"$1,190.00 "
9/22/2022,Short-Term Room w/airport shuttle,Coyoacán,19.33739,-99.12417,$873.00 
9/23/2022,Room for rent in Mexico City,Miguel Hidalgo,19.39969,-99.17173,$500.00 
9/23/2022,HABITACIÓN CENTRICA,Cuauhtémoc,19.417,-99.15975,$559.00 
9/22/2022,GREAT LOCATED PRV8 ROOM!!,Benito Juárez,19.37252,-99.14269,$600.00 
9/22/2022,Cultural area of Mexico City,Coyoacán,19.30729,-99.16962,$400.00 
9/22/2022,Comfortable room with dinning room,Coyoacán,19.35284,-99.1635,$550.00 
9/23/2022,Cuarto en renta,Cuauhtémoc,19.40924,-99.16619,"$3,994.00 "
9/22/2022,SUITES BOSQUES MEDICA SUR,Coyoacán,19.29966,-99.15624,$495.00 
9/22/2022,San Angel  Inn # 1,Álvaro Obregón,19.35058,-99.19749,$600.00 
9/23/2022,Excellent location renovated Apt. Roma/Condesa 1,Cuauhtémoc,19.4171,-99.1725,"$1,400.00 "
9/23/2022,En el corazón de la escandón,Miguel Hidalgo,19.40103,-99.17618,$450.00 
9/23/2022,Nice spacious apartment in Condesa,Cuauhtémoc,19.40623,-99.17141,"$1,298.00 "
9/23/2022,Best Location - HISTORIC CENTER REFORMA SECURE 105,Cuauhtémoc,19.43432,-99.14581,$810.00 
9/23/2022,Penthouse with terrace in Colonia Roma by Condesa,Cuauhtémoc,19.41232,-99.16073,$773.00 
9/23/2022,Colonial Suite,Cuauhtémoc,19.43794,-99.13644,"$1,977.00 "
9/23/2022,Best Views in the heart of Condesa,Cuauhtémoc,19.4098,-99.17851,"$1,897.00 "
9/23/2022,Independent stay near Independence Angel - Reforma,Cuauhtémoc,19.43211,-99.16912,$559.00 
9/22/2022,ONE ROOM LOFT AT LOMAS DE CHAPULTEPEC,Miguel Hidalgo,19.43293,-99.21078,$750.00 
9/22/2022,SPEED WiFi Apartment -Olloqui Park near Coyoacan,Benito Juárez,19.36229,-99.17355,$680.00 
9/23/2022,Penthouse bohemio en el corazón de la ciudad,Cuauhtémoc,19.43315,-99.163,"$1,705.00 "
9/22/2022,Cozy loft near park,Miguel Hidalgo,19.41245,-99.18961,"$1,280.00 "
9/23/2022,GREAT VIWE WITH GREAT PEOPLE,Miguel Hidalgo,19.41239,-99.18398,$700.00 
9/23/2022,Loft in the fun part of Condesa,Cuauhtémoc,19.41059,-99.17501,"$1,252.00 "
9/23/2022,Casa El Santo,Cuauhtémoc,19.43815,-99.13644,"$1,378.00 "
9/23/2022,Nice Loft in the heart of Polanco,Miguel Hidalgo,19.43215,-99.18851,"$1,690.00 "
9/22/2022,"casa en el sur, zona coyoacan",Coyoacán,19.31669,-99.16917,$208.00 
9/22/2022,Room in new apartment of 1250ft²,Benito Juárez,19.39507,-99.15226,$350.00 
9/22/2022,PRIVATE BEDROOM SANTA FE - CUAJIMALPA,Cuajimalpa de Morelos,19.36898,-99.29595,$880.00 
9/23/2022,Awesome Reforma Avenue Apartment,Cuauhtémoc,19.43294,-99.15448,"$1,298.00 "
9/22/2022,"Villa María, Heart of Coyoacan",Coyoacán,19.35418,-99.16338,"$1,036.00 "
